shell_id,L,primitive_id,exponent,coefficient
0,S,0,13983.1,0.001942669947
0,S,1,2098.75,0.01485989959
0,S,2,477.705,0.072849398
0,S,3,134.36,0.2468299932
0,S,4,42.8709,0.4872579866
0,S,5,14.5189,0.3234959911
1,S,0,239.668,-0.002926190028
1,S,1,57.4419,-0.03740830036
1,S,2,18.2859,-0.1144870011
1,S,3,6.59914,0.1156350011
1,S,4,2.49049,0.6125950058
1,S,5,0.944545,0.3937990037
2,P,0,239.668,0.004602845582
2,P,1,57.4419,0.03319896813
2,P,2,18.2859,0.1362818692
2,P,3,6.59914,0.3304756828
2,P,4,2.49049,0.4491455689
2,P,5,0.944545,0.265703745
3,S,0,1.2779,-0.2276069245
3,S,1,0.39759,0.001445835873
3,S,2,0.160095,1.092794439
4,P,0,1.2779,-0.01751260189
4,P,1,0.39759,0.2445330264
4,P,2,0.160095,0.8049340867
5,S,0,0.0556577,1
6,P,0,0.0556577,1
7,D,0,0.325,1
