shell_id,L,primitive_id,exponent,coefficient
0,S,0,9993.2,0.001937659277
0,S,1,1499.89,0.01480699448
0,S,2,341.951,0.07270547288
0,S,3,94.6796,0.2526289058
0,S,4,29.7345,0.493241816
0,S,5,10.0063,0.3131688832
1,S,0,150.963,-0.003542083504
1,S,1,35.5878,-0.04395884348
1,S,2,11.1683,-0.1097521086
1,S,3,3.90201,0.1873981854
1,S,4,1.38177,0.6466996397
1,S,5,0.466382,0.3060583027
2,P,0,150.963,0.00500165971
2,P,1,35.5878,0.03551089794
2,P,2,11.1683,0.1428249917
2,P,3,3.90201,0.3386199803
2,P,4,1.38177,0.4515789738
2,P,5,0.466382,0.2732709841
3,S,0,0.497966,-0.2485031593
3,S,1,0.0843529,-0.1317040844
3,S,2,0.066635,1.233520791
4,P,0,0.497966,-0.02302250043
4,P,1,0.0843529,0.9503590176
4,P,2,0.066635,0.05985790111
5,S,0,0.0259544,1
6,P,0,0.0259544,1
7,D,0,0.175,1
