shell_id,L,primitive_id,exponent,coefficient
0,S,0,16115.9,0.001959480216
0,S,1,2425.58,0.01492880164
0,S,2,553.867,0.07284780801
0,S,3,156.34,0.2461300271
0,S,4,50.0683,0.4859140535
0,S,5,17.0178,0.3250020358
1,S,0,292.718,-0.002780941415
1,S,1,69.8731,-0.03571461817
1,S,2,22.3363,-0.1149850585
1,S,3,8.15039,0.0935634476
1,S,4,3.13458,0.6030173068
1,S,5,1.22543,0.4189592131
2,P,0,292.718,0.004438264521
2,P,1,69.8731,0.03266793328
2,P,2,22.3363,0.1347211372
2,P,3,8.15039,0.3286783348
2,P,4,3.13458,0.449640458
2,P,5,1.22543,0.2613722662
3,S,0,1.72738,-0.2446310042
3,S,1,0.572922,0.004315737717
3,S,2,0.222192,1.098184508
4,P,0,1.72738,-0.01779510605
4,P,1,0.572922,0.2535390863
4,P,2,0.222192,0.8006692724
5,S,0,0.0778369,1
6,P,0,0.0778369,1
7,D,0,0.45,1
