shell_id,L,primitive_id,exponent,coefficient
0,S,0,28348.3,0.001825260192
0,S,1,4257.62,0.01396860147
0,S,2,969.857,0.06870730723
0,S,3,273.263,0.2362040249
0,S,4,87.3695,0.4822140508
0,S,5,29.6867,0.342043036
1,S,0,575.891,-0.002159720895
1,S,1,136.816,-0.02907751206
1,S,2,43.8098,-0.110827046
1,S,3,16.2094,0.02769991148
1,S,4,6.46084,0.5776132395
1,S,5,2.65114,0.4886882026
2,P,0,575.891,0.003806649842
2,P,1,136.816,0.02923049879
2,P,2,43.8098,0.1264669948
2,P,3,16.2094,0.3235099866
2,P,4,6.46084,0.4548959811
2,P,5,2.65114,0.2566299894
3,S,0,3.86028,-0.2555929604
3,S,1,1.41373,0.03780674206
3,S,2,0.516646,1.08056406
4,P,0,3.86028,-0.0159196904
4,P,1,1.41373,0.3246458042
4,P,2,0.516646,0.7439895512
5,S,0,0.173888,1
6,P,0,0.173888,1
