shell_id,L,primitive_id,exponent,coefficient
0,S,0,25180.1,0.001832959848
0,S,1,3780.35,0.01403419883
0,S,2,860.474,0.06909739426
0,S,3,242.145,0.2374519803
0,S,4,77.3349,0.4830339599
0,S,5,26.247,0.3398559718
1,S,0,491.765,-0.002297391417
1,S,1,116.984,-0.03071371894
1,S,2,37.4153,-0.1125280694
1,S,3,13.7834,0.04501632776
1,S,4,5.45215,0.5893533634
1,S,5,2.22588,0.4652062868
2,P,0,491.765,0.003989400879
2,P,1,116.984,0.03031770668
2,P,2,37.4153,0.1298800286
2,P,3,13.7834,0.3279510723
2,P,4,5.45215,0.4535271
2,P,5,2.22588,0.2521540556
3,S,0,3.18649,-0.251828028
3,S,1,1.14427,0.06158925141
3,S,2,0.420377,1.060184328
4,P,0,3.18649,-0.01429931472
4,P,1,1.14427,0.3235723331
4,P,2,0.420377,0.7435077653
5,S,0,0.142657,1
6,P,0,0.142657,1
