shell_id,L,primitive_id,exponent,coefficient
0,S,0,11722.8,0.001977829317
0,S,1,1759.93,0.01511399478
0,S,2,400.846,0.07391077448
0,S,3,112.807,0.249190914
0,S,4,35.9997,0.4879278316
0,S,5,12.1828,0.3196618896
1,S,0,189.18,-0.003237170471
1,S,1,45.2119,-0.04100790597
1,S,2,14.3563,-0.1126000164
1,S,3,5.13886,0.1486330216
1,S,4,1.90652,0.6164970898
1,S,5,0.705887,0.3648290531
2,P,0,189.18,0.004928129921
2,P,1,45.2119,0.03498879944
2,P,2,14.3563,0.1407249977
2,P,3,5.13886,0.3336419947
2,P,4,1.90652,0.4449399929
2,P,5,0.705887,0.2692539957
3,S,0,0.92934,-0.2122908985
3,S,1,0.269035,-0.107985457
3,S,2,0.117379,1.175844977
4,P,0,0.92934,-0.02241918123
4,P,1,0.269035,0.192270839
4,P,2,0.117379,0.8461802916
5,S,0,0.0421061,1
6,P,0,0.0421061,1
