shell_id,L,primitive_id,exponent,coefficient
0,S,0,19413.3,0.001851598923
0,S,1,2909.42,0.01420619174
0,S,2,661.364,0.06999945928
0,S,3,185.759,0.2400788603
0,S,4,59.1943,0.484761718
0,S,5,20.031,0.335199805
1,S,0,339.478,-0.002782170105
1,S,1,81.0101,-0.03604990135
1,S,2,25.878,-0.1166310044
1,S,3,9.45221,0.09683280364
1,S,4,3.66566,0.6144180231
1,S,5,1.46746,0.4037980152
2,P,0,339.478,0.004564616191
2,P,1,81.0101,0.03369357188
2,P,2,25.878,0.1397548834
2,P,3,9.45221,0.3393617168
2,P,4,3.66566,0.4509206237
2,P,5,1.46746,0.2385858009
3,S,0,2.15623,-0.2529241139
3,S,1,0.748997,0.03285184468
3,S,2,0.283145,1.081254762
4,P,0,2.15623,-0.01776531273
4,P,1,0.748997,0.2740581964
4,P,2,0.283145,0.785421563
5,S,0,0.0998317,1
6,P,0,0.0998317,1
