shell_id,L,primitive_id,exponent,coefficient
0,S,0,21917.1,0.001869240849
0,S,1,3301.49,0.01423030646
0,S,2,754.146,0.06969623166
0,S,3,212.711,0.2384871083
0,S,4,67.9896,0.4833072195
0,S,5,23.0515,0.3380741536
1,S,0,423.735,-0.002376770499
1,S,1,100.71,-0.03169300665
1,S,2,32.1599,-0.1133170238
1,S,3,11.8079,0.05609001177
1,S,4,4.6311,0.5922551243
1,S,5,1.87025,0.4550060955
2,P,0,423.735,0.004061009982
2,P,1,100.71,0.03068129986
2,P,2,32.1599,0.1304519994
2,P,3,11.8079,0.3272049985
2,P,4,4.6311,0.452850998
2,P,5,1.87025,0.2560419989
3,S,0,2.61584,-0.2503731142
3,S,1,0.922167,0.0669567631
3,S,2,0.341287,1.054506269
4,P,0,2.61584,-0.01451048955
4,P,1,0.922167,0.3102627765
4,P,2,0.341287,0.7544824565
5,S,0,0.117167,1
6,P,0,0.117167,1
