shell_id,L,primitive_id,exponent,coefficient
0,S,0,674.4465184,0.1543289673
0,S,1,122.8512753,0.5353281423
0,S,2,33.24834945,0.4446345422
1,S,0,45.16424392,-0.09996722919
1,S,1,10.495199,0.3995128261
1,S,2,3.413364448,0.7001154689
2,P,0,45.16424392,0.155916275
2,P,1,10.495199,0.6076837186
2,P,2,3.413364448,0.3919573931
3,S,0,2.621366518,-0.219620369
3,S,1,0.731354605,0.2255954336
3,S,2,0.2862472356,0.900398426
4,P,0,2.621366518,0.01058760429
4,P,1,0.731354605,0.5951670053
4,P,2,0.2862472356,0.462001012
