shell_id,L,primitive_id,exponent,coefficient
0,S,0,601.3456136,0.1543289673
0,S,1,109.5358542,0.5353281423
0,S,2,29.64467686,0.4446345422
1,S,0,38.96041889,-0.09996722919
1,S,1,9.053563477,0.3995128261
1,S,2,2.944499834,0.7001154689
2,P,0,38.96041889,0.155916275
2,P,1,9.053563477,0.6076837186
2,P,2,2.944499834,0.3919573931
3,S,0,2.129386495,-0.219620369
3,S,1,0.5940934274,0.2255954336
3,S,2,0.232524141,0.900398426
4,P,0,2.129386495,0.01058760429
4,P,1,0.5940934274,0.5951670053
4,P,2,0.232524141,0.462001012
