shell_id,L,primitive_id,exponent,coefficient
0,S,0,468.3656378,0.1543289673
0,S,1,85.31338559,0.5353281423
0,S,2,23.08913156,0.4446345422
1,S,0,28.03263958,-0.09996722919
1,S,1,6.514182577,0.3995128261
1,S,2,2.118614352,0.7001154689
2,P,0,28.03263958,0.155916275
2,P,1,6.514182577,0.6076837186
2,P,2,2.118614352,0.3919573931
3,S,0,1.743103231,-0.219620369
3,S,1,0.4863213771,0.2255954336
3,S,2,0.1903428909,0.900398426
4,P,0,1.743103231,0.01058760429
4,P,1,0.4863213771,0.5951670053
4,P,2,0.1903428909,0.462001012
