shell_id,L,primitive_id,exponent,coefficient
0,S,0,533.1257359,0.1543289673
0,S,1,97.1095183,0.5353281423
0,S,2,26.28162542,0.4446345422
1,S,0,33.32975173,-0.09996722919
1,S,1,7.745117521,0.3995128261
1,S,2,2.518952599,0.7001154689
2,P,0,33.32975173,0.155916275
2,P,1,7.745117521,0.6076837186
2,P,2,2.518952599,0.3919573931
3,S,0,2.029194274,-0.219620369
3,S,1,0.5661400518,0.2255954336
3,S,2,0.2215833792,0.900398426
4,P,0,2.029194274,0.01058760429
4,P,1,0.5661400518,0.5951670053
4,P,2,0.2215833792,0.462001012
