shell_id,L,primitive_id,exponent,coefficient
0,S,0,407.7975514,0.1543289673
0,S,1,74.28083305,0.5353281423
0,S,2,20.10329229,0.4446345422
1,S,0,23.19365606,-0.09996722919
1,S,1,5.389706871,0.3995128261
1,S,2,1.752899952,0.7001154689
2,P,0,23.19365606,0.155916275
2,P,1,5.389706871,0.6076837186
2,P,2,1.752899952,0.3919573931
3,S,0,1.478740622,-0.219620369
3,S,1,0.4125648801,0.2255954336
3,S,2,0.1614750979,0.900398426
4,P,0,1.478740622,0.01058760429
4,P,1,0.4125648801,0.5951670053
4,P,2,0.1614750979,0.462001012
