shell_id,L,primitive_id,exponent,coefficient
0,S,0,64150,0.00029025
0,S,1,9617,0.00225064
0,S,2,2189,0.0116459
0,S,3,620.5,0.0467377
0,S,4,202.7,0.146299
0,S,5,73.15,0.330283
0,S,6,28.55,0.415861
0,S,7,11.77,0.189253
0,S,8,3.3,0.0115889
0,S,9,1.173,-0.00128385
0,S,10,0.1752,0.000425883
0,S,11,0.06473,-0.00019928
1,S,0,64150,-7.58048e-05
1,S,1,9617,-0.000581791
1,S,2,2189,-0.00308113
1,S,3,620.5,-0.0123112
1,S,4,202.7,-0.0419781
1,S,5,73.15,-0.103371
1,S,6,28.55,-0.196308
1,S,7,11.77,-0.0830002
1,S,8,3.3,0.54104
1,S,9,1.173,0.578796
1,S,10,0.1752,0.0288147
1,S,11,0.06473,-0.00953795
2,S,0,64150,1.75078e-05
2,S,1,9617,0.000134208
2,S,2,2189,0.000712442
2,S,3,620.5,0.0028433
2,S,4,202.7,0.00976842
2,S,5,73.15,0.024185
2,S,6,28.55,0.0474993
2,S,7,11.77,0.0203621
2,S,8,3.3,-0.158788
2,S,9,1.173,-0.311694
2,S,10,0.1752,0.620147
2,S,11,0.06473,0.520943
3,S,0,0.06473,1
4,P,0,258.8,0.00406847
4,P,1,60.89,0.0306815
4,P,2,19.14,0.129149
4,P,3,6.881,0.320831
4,P,4,2.574,0.453815
4,P,5,0.9572,0.275066
4,P,6,0.2099,0.0190807
4,P,7,0.05986,-0.00312848
5,P,0,258.8,-0.000748053
5,P,1,60.89,-0.00545796
5,P,2,19.14,-0.0245371
5,P,3,6.881,-0.0582138
5,P,4,2.574,-0.0983756
5,P,5,0.9572,-0.0260064
5,P,6,0.2099,0.46402
5,P,7,0.05986,0.64887
6,P,0,0.05986,1
7,D,0,0.189,1
