shell_id,L,primitive_id,exponent,coefficient
0,S,0,145700,0.0002367
0,S,1,21840,0.00183523
0,S,2,4972,0.0095286
0,S,3,1408,0.0386283
0,S,4,459.7,0.124081
0,S,5,165.9,0.296471
0,S,6,64.69,0.422068
0,S,7,26.44,0.241711
0,S,8,7.628,0.0200509
0,S,9,2.996,-0.00361
0,S,10,0.6504,0.000975607
0,S,11,0.2337,-0.000411316
1,S,0,145700,-6.7491e-05
1,S,1,21840,-0.000518522
1,S,2,4972,-0.00274825
1,S,3,1408,-0.0111007
1,S,4,459.7,-0.038482
1,S,5,165.9,-0.0997599
1,S,6,64.69,-0.203088
1,S,7,26.44,-0.135608
1,S,8,7.628,0.507195
1,S,9,2.996,0.612898
1,S,10,0.6504,0.0442968
1,S,11,0.2337,-0.00899278
2,S,0,145700,2.10457e-05
2,S,1,21840,0.000162565
2,S,2,4972,0.000855463
2,S,3,1408,0.00349745
2,S,4,459.7,0.0120156
2,S,5,165.9,0.0321368
2,S,6,64.69,0.0655279
2,S,7,26.44,0.049937
2,S,8,7.628,-0.229769
2,S,9,2.996,-0.421006
2,S,10,0.6504,0.642331
2,S,11,0.2337,0.56754
3,S,0,0.2337,1
4,P,0,453.7,0.00570555
4,P,1,106.8,0.043046
4,P,2,33.73,0.176591
4,P,3,12.13,0.406863
4,P,4,4.594,0.452549
4,P,5,1.678,0.122801
4,P,6,0.5909,-0.00445996
4,P,7,0.1852,0.00205225
5,P,0,453.7,-0.00160655
5,P,1,106.8,-0.0121714
5,P,2,33.73,-0.0520789
5,P,3,12.13,-0.123737
5,P,4,4.594,-0.151619
5,P,5,1.678,0.142425
5,P,6,0.5909,0.584501
5,P,7,0.1852,0.43754
6,P,0,0.1852,1
7,D,0,0.738,1
