shell_id,L,primitive_id,exponent,coefficient
0,S,0,4570,0.000696
0,S,1,685.9,0.005353
0,S,2,156.5,0.027134
0,S,3,44.47,0.10138
0,S,4,14.48,0.272055
0,S,5,5.131,0.448403
0,S,6,1.898,0.290123
0,S,7,0.3329,0.014322
0,S,8,0.1043,-0.003486
1,S,0,4570,-0.000139
1,S,1,685.9,-0.001097
1,S,2,156.5,-0.005444
1,S,3,44.47,-0.021916
1,S,4,14.48,-0.059751
1,S,5,5.131,-0.138732
1,S,6,1.898,-0.131482
1,S,7,0.3329,0.539526
1,S,8,0.1043,0.580774
2,S,0,0.1043,1
3,P,0,6.001,0.035481
3,P,1,1.241,0.198072
3,P,2,0.3364,0.50523
3,P,3,0.09538,0.479499
4,P,0,0.09538,1
5,D,0,0.343,1
