shell_id,L,primitive_id,exponent,coefficient
0,S,0,2940,0.00068
0,S,1,441.2,0.005236
0,S,2,100.5,0.026606
0,S,3,28.43,0.099993
0,S,4,9.169,0.269702
0,S,5,3.196,0.451469
0,S,6,1.159,0.295074
0,S,7,0.1811,0.012587
0,S,8,0.0589,-0.003756
1,S,0,2940,-0.000123
1,S,1,441.2,-0.000966
1,S,2,100.5,-0.004831
1,S,3,28.43,-0.019314
1,S,4,9.169,-0.05328
1,S,5,3.196,-0.120723
1,S,6,1.159,-0.133435
1,S,7,0.1811,0.530767
1,S,8,0.0589,0.580117
2,S,0,0.0589,1
3,P,0,3.619,0.029111
3,P,1,0.711,0.169365
3,P,2,0.1951,0.513458
3,P,3,0.06018,0.479338
4,P,0,0.06018,1
5,D,0,0.2354,1
