shell_id,L,primitive_id,exponent,coefficient
0,S,0,6665,0.000692
0,S,1,1000,0.005329
0,S,2,228,0.027077
0,S,3,64.71,0.101718
0,S,4,21.06,0.27474
0,S,5,7.495,0.448564
0,S,6,2.797,0.285074
0,S,7,0.5215,0.015204
0,S,8,0.1596,-0.003191
1,S,0,6665,-0.000146
1,S,1,1000,-0.001154
1,S,2,228,-0.005725
1,S,3,64.71,-0.023312
1,S,4,21.06,-0.063955
1,S,5,7.495,-0.149981
1,S,6,2.797,-0.127262
1,S,7,0.5215,0.544529
1,S,8,0.1596,0.580496
2,S,0,0.1596,1
3,P,0,9.439,0.038109
3,P,1,2.002,0.20948
3,P,2,0.5456,0.508557
3,P,3,0.1517,0.468842
4,P,0,0.1517,1
5,D,0,0.55,1
