shell_id,L,primitive_id,exponent,coefficient
0,S,0,127900,0.000241153
0,S,1,19170,0.00187095
0,S,2,4363,0.00970827
0,S,3,1236,0.0393153
0,S,4,403.6,0.125932
0,S,5,145.7,0.299341
0,S,6,56.81,0.421886
0,S,7,23.23,0.237201
0,S,8,6.644,0.0191531
0,S,9,2.575,-0.00334792
0,S,10,0.5371,0.000929883
0,S,11,0.1938,-0.000396379
1,S,0,127900,-6.78922e-05
1,S,1,19170,-0.000521836
1,S,2,4363,-0.00276513
1,S,3,1236,-0.0111537
1,S,4,403.6,-0.0385919
1,S,5,145.7,-0.0994848
1,S,6,56.81,-0.201392
1,S,7,23.23,-0.130313
1,S,8,6.644,0.509443
1,S,9,2.575,0.610725
1,S,10,0.5371,0.0421549
1,S,11,0.1938,-0.00923427
2,S,0,127900,2.04986e-05
2,S,1,19170,0.000158298
2,S,2,4363,0.000833639
2,S,3,1236,0.0033988
2,S,4,403.6,0.0116738
2,S,5,145.7,0.0309622
2,S,6,56.81,0.0629533
2,S,7,23.23,0.0460257
2,S,8,6.644,-0.219312
2,S,9,2.575,-0.408773
2,S,10,0.5371,0.638465
2,S,11,0.1938,0.562362
3,S,0,0.1938,1
4,P,0,417.6,0.00525982
4,P,1,98.33,0.0398332
4,P,2,31.04,0.164655
4,P,3,11.19,0.387322
4,P,4,4.249,0.457072
4,P,5,1.624,0.151636
4,P,6,0.5322,0.00181615
4,P,7,0.162,0.00188296
5,P,0,417.6,-0.0014357
5,P,1,98.33,-0.0107796
5,P,2,31.04,-0.0470075
5,P,3,11.19,-0.11103
5,P,4,4.249,-0.153275
5,P,5,1.624,0.0894609
5,P,6,0.5322,0.579444
5,P,7,0.162,0.483272
6,P,0,0.162,1
7,D,0,0.6,1
