shell_id,L,primitive_id,exponent,coefficient
0,S,0,14710,0.000721
0,S,1,2207,0.005553
0,S,2,502.8,0.028267
0,S,3,142.6,0.106444
0,S,4,46.47,0.286814
0,S,5,16.7,0.448641
0,S,6,6.356,0.264761
0,S,7,1.316,0.015333
0,S,8,0.3897,-0.002332
1,S,0,14710,-0.000165
1,S,1,2207,-0.001308
1,S,2,502.8,-0.006495
1,S,3,142.6,-0.026691
1,S,4,46.47,-0.07369
1,S,5,16.7,-0.170776
1,S,6,6.356,-0.112327
1,S,7,1.316,0.562814
1,S,8,0.3897,0.568778
2,S,0,0.3897,1
3,P,0,22.67,0.044878
3,P,1,4.977,0.235718
3,P,2,1.347,0.508521
3,P,3,0.3471,0.45812
4,P,0,0.3471,1
5,D,0,1.64,1
