shell_id,L,primitive_id,exponent,coefficient
0,S,0,1469,0.000766
0,S,1,220.5,0.005892
0,S,2,50.26,0.029671
0,S,3,14.24,0.10918
0,S,4,4.581,0.282789
0,S,5,1.58,0.453123
0,S,6,0.564,0.274774
0,S,7,0.07345,0.009751
0,S,8,0.02805,-0.00318
1,S,0,1469,-0.00012
1,S,1,220.5,-0.000923
1,S,2,50.26,-0.004689
1,S,3,14.24,-0.017682
1,S,4,4.581,-0.048902
1,S,5,1.58,-0.096009
1,S,6,0.564,-0.13638
1,S,7,0.07345,0.575102
1,S,8,0.02805,0.517661
2,S,0,0.02805,1
3,P,0,1.534,0.022784
3,P,1,0.2749,0.139107
3,P,2,0.07362,0.500375
3,P,3,0.02403,0.508474
4,P,0,0.02403,1
5,D,0,0.1144,1
