shell_id,L,primitive_id,exponent,coefficient
0,S,0,47390,0.000346023
0,S,1,7108,0.00268077
0,S,2,1618,0.0138367
0,S,3,458.4,0.0551767
0,S,4,149.3,0.16966
0,S,5,53.59,0.364703
0,S,6,20.7,0.406856
0,S,7,8.384,0.135089
0,S,8,2.542,0.00490884
0,S,9,0.8787,0.00028646
0,S,10,0.1077,2.6459e-05
0,S,11,0.03999,-1.12708e-05
1,S,0,47390,-8.77839e-05
1,S,1,7108,-0.000674725
1,S,2,1618,-0.00355603
1,S,3,458.4,-0.0142154
1,S,4,149.3,-0.0476748
1,S,5,53.59,-0.114892
1,S,6,20.7,-0.200676
1,S,7,8.384,-0.0341224
1,S,8,2.542,0.570454
1,S,9,0.8787,0.542309
1,S,10,0.1077,0.0218128
1,S,11,0.03999,-0.008277
2,S,0,47390,1.69628e-05
2,S,1,7108,0.000129865
2,S,2,1618,0.000688831
2,S,3,458.4,0.00273533
2,S,4,149.3,0.00931224
2,S,5,53.59,0.0223265
2,S,6,20.7,0.0411195
2,S,7,8.384,0.00545642
2,S,8,2.542,-0.134012
2,S,9,0.8787,-0.256176
2,S,10,0.1077,0.605856
2,S,11,0.03999,0.509446
3,S,0,0.03999,1
4,P,0,179.9,0.00538161
4,P,1,42.14,0.0392418
4,P,2,13.13,0.157445
4,P,3,4.628,0.358535
4,P,4,1.67,0.457226
4,P,5,0.5857,0.215918
4,P,6,0.1311,0.00664948
4,P,7,0.04112,-0.000125304
5,P,0,179.9,-0.000865948
5,P,1,42.14,-0.00615978
5,P,2,13.13,-0.0261519
5,P,3,4.628,-0.0570647
5,P,4,1.67,-0.0873906
5,P,5,0.5857,-0.012299
5,P,6,0.1311,0.502085
5,P,7,0.04112,0.597245
6,P,0,0.04112,1
7,D,0,0.1932,1
