shell_id,L,primitive_id,exponent,coefficient
0,S,0,9046,0.0007
0,S,1,1357,0.005389
0,S,2,309.3,0.027406
0,S,3,87.73,0.103207
0,S,4,28.56,0.278723
0,S,5,10.21,0.44854
0,S,6,3.838,0.278238
0,S,7,0.7466,0.01544
0,S,8,0.2248,-0.002864
1,S,0,9046,-0.000153
1,S,1,1357,-0.001208
1,S,2,309.3,-0.005992
1,S,3,87.73,-0.024544
1,S,4,28.56,-0.067459
1,S,5,10.21,-0.158078
1,S,6,3.838,-0.121831
1,S,7,0.7466,0.549003
1,S,8,0.2248,0.578815
2,S,0,0.2248,1
3,P,0,13.55,0.039919
3,P,1,2.917,0.217169
3,P,2,0.7973,0.510319
3,P,3,0.2185,0.462214
4,P,0,0.2185,1
5,D,0,0.817,1
