shell_id,L,primitive_id,exponent,coefficient
0,S,0,31700,0.000458878
0,S,1,4755,0.0035507
0,S,2,1082,0.0182618
0,S,3,306.4,0.071665
0,S,4,99.53,0.212346
0,S,5,35.42,0.416203
0,S,6,13.3,0.37302
0,S,7,4.392,0.0625054
0,S,8,1.676,-0.00624532
0,S,9,0.5889,0.00243374
0,S,10,0.0564,-0.000442381
0,S,11,0.02307,0.000241924
1,S,0,31700,-0.000112162
1,S,1,4755,-0.000868512
1,S,2,1082,-0.0045133
1,S,3,306.4,-0.0181436
1,S,4,99.53,-0.0580799
1,S,5,35.42,-0.137653
1,S,6,13.3,-0.193908
1,S,7,4.392,0.0858009
1,S,8,1.676,0.604419
1,S,9,0.5889,0.441719
1,S,10,0.0564,0.0130547
1,S,11,0.02307,-0.00568085
2,S,0,31700,1.7016e-05
2,S,1,4755,0.000130693
2,S,2,1082,0.000687784
2,S,3,306.4,0.00272359
2,S,4,99.53,0.00895529
2,S,5,35.42,0.0207832
2,S,6,13.3,0.031938
2,S,7,4.392,-0.0191368
2,S,8,1.676,-0.102595
2,S,9,0.5889,-0.198945
2,S,10,0.0564,0.655952
2,S,11,0.02307,0.431153
3,S,0,0.02307,1
4,P,0,138.1,0.00579641
4,P,1,32.24,0.0415756
4,P,2,9.985,0.162873
4,P,3,3.484,0.359401
4,P,4,1.231,0.449988
4,P,5,0.4177,0.227507
4,P,6,0.06513,0.00808247
4,P,7,0.02053,-0.00196293
5,P,0,138.1,-0.000581531
5,P,1,32.24,-0.00407306
5,P,2,9.985,-0.0167937
5,P,3,3.484,-0.0353268
5,P,4,1.231,-0.0521971
5,P,5,0.4177,-0.0168359
5,P,6,0.06513,0.434613
5,P,7,0.02053,0.658218
6,P,0,0.02053,1
7,D,0,0.0928,1
