shell_id,L,primitive_id,exponent,coefficient
0,S,0,17880,0.000738
0,S,1,2683,0.005677
0,S,2,611.5,0.028883
0,S,3,173.5,0.10854
0,S,4,56.64,0.290907
0,S,5,20.42,0.448324
0,S,6,7.81,0.258026
0,S,7,1.653,0.015063
0,S,8,0.4869,-0.0021
1,S,0,17880,-0.000172
1,S,1,2683,-0.001357
1,S,2,611.5,-0.006737
1,S,3,173.5,-0.027663
1,S,4,56.64,-0.076208
1,S,5,20.42,-0.175227
1,S,6,7.81,-0.107038
1,S,7,1.653,0.56705
1,S,8,0.4869,0.565216
2,S,0,0.4869,1
3,P,0,28.39,0.046087
3,P,1,6.27,0.240181
3,P,2,1.695,0.508744
3,P,3,0.4317,0.45566
4,P,0,0.4317,1
5,D,0,2.202,1
