shell_id,L,primitive_id,exponent,coefficient
0,S,0,11720,0.00071
0,S,1,1759,0.00547
0,S,2,400.8,0.027837
0,S,3,113.7,0.1048
0,S,4,37.03,0.283062
0,S,5,13.27,0.448719
0,S,6,5.025,0.270952
0,S,7,1.013,0.015458
0,S,8,0.3023,-0.002585
1,S,0,11720,-0.00016
1,S,1,1759,-0.001263
1,S,2,400.8,-0.006267
1,S,3,113.7,-0.025716
1,S,4,37.03,-0.070924
1,S,5,13.27,-0.165411
1,S,6,5.025,-0.116955
1,S,7,1.013,0.557368
1,S,8,0.3023,0.572759
2,S,0,0.3023,1
3,P,0,17.7,0.043018
3,P,1,3.854,0.228913
3,P,2,1.046,0.508728
3,P,3,0.2753,0.460531
4,P,0,0.2753,1
5,D,0,1.185,1
