shell_id,L,primitive_id,exponent,coefficient
0,S,0,94840,0.000255509
0,S,1,14220,0.00198193
0,S,2,3236,0.010276
0,S,3,917.1,0.0414823
0,S,4,299.5,0.131984
0,S,5,108.1,0.308662
0,S,6,42.18,0.420647
0,S,7,17.28,0.222878
0,S,8,4.858,0.0164035
0,S,9,1.818,-0.00254255
0,S,10,0.3372,0.00074805
0,S,11,0.1232,-0.000330963
1,S,0,94840,-6.96939e-05
1,S,1,14220,-0.000535266
1,S,2,3236,-0.00283709
1,S,3,917.1,-0.0113983
1,S,4,299.5,-0.0392929
1,S,5,108.1,-0.0996364
1,S,6,42.18,-0.197983
1,S,7,17.28,-0.11486
1,S,8,4.858,0.518595
1,S,9,1.818,0.601847
1,S,10,0.3372,0.0368612
1,S,11,0.1232,-0.00970759
2,S,0,94840,1.91199e-05
2,S,1,14220,0.000147223
2,S,2,3236,0.000777912
2,S,3,917.1,0.00314546
2,S,4,299.5,0.01082
2,S,5,108.1,0.0279957
2,S,6,42.18,0.0563978
2,S,7,17.28,0.035819
2,S,8,4.858,-0.193387
2,S,9,1.818,-0.372097
2,S,10,0.3372,0.624246
2,S,11,0.1232,0.551721
3,S,0,0.1232,1
4,P,0,370.5,0.00395005
4,P,1,87.33,0.0302492
4,P,2,27.59,0.129554
4,P,3,10,0.327594
4,P,4,3.825,0.456992
4,P,5,1.494,0.253086
4,P,6,0.3921,0.0168798
4,P,7,0.1186,-0.00207093
5,P,0,370.5,-0.000959832
5,P,1,87.33,-0.00711177
5,P,2,27.59,-0.0327122
5,P,3,10,-0.0795784
5,P,4,3.825,-0.135016
5,P,5,1.494,-0.00910585
5,P,6,0.3921,0.537802
5,P,7,0.1186,0.569066
6,P,0,0.1186,1
7,D,0,0.373,1
