shell_id,L,primitive_id,exponent,coefficient
0,S,0,110800,0.000247635
0,S,1,16610,0.00192026
0,S,2,3781,0.00996192
0,S,3,1071,0.0402975
0,S,4,349.8,0.128604
0,S,5,126.3,0.30348
0,S,6,49.26,0.421432
0,S,7,20.16,0.230781
0,S,8,5.72,0.0178971
0,S,9,2.182,-0.00297516
0,S,10,0.4327,0.000849522
0,S,11,0.157,-0.000367936
1,S,0,110800,-6.87039e-05
1,S,1,16610,-0.000527681
1,S,2,3781,-0.00279671
1,S,3,1071,-0.0112651
1,S,4,349.8,-0.0388834
1,S,5,126.3,-0.0995025
1,S,6,49.26,-0.19974
1,S,7,20.16,-0.12336
1,S,8,5.72,0.513194
1,S,9,2.182,0.60712
1,S,10,0.4327,0.0396753
1,S,11,0.157,-0.00946864
2,S,0,110800,1.99077e-05
2,S,1,16610,0.000153483
2,S,2,3781,0.000809503
2,S,3,1071,0.00328974
2,S,4,349.8,0.0112967
2,S,5,126.3,0.0296385
2,S,6,49.26,0.0599851
2,S,7,20.16,0.0413248
2,S,8,5.72,-0.207474
2,S,9,2.182,-0.392889
2,S,10,0.4327,0.63284
2,S,11,0.157,0.556924
3,S,0,0.157,1
4,P,0,399.7,0.00447541
4,P,1,94.19,0.0341708
4,P,2,29.75,0.14425
4,P,3,10.77,0.353928
4,P,4,4.119,0.459085
4,P,5,1.625,0.206383
4,P,6,0.4726,0.0102141
4,P,7,0.1407,-6.03122e-05
5,P,0,399.7,-0.00116251
5,P,1,94.19,-0.00865664
5,P,2,29.75,-0.0390886
5,P,3,10.77,-0.0934625
5,P,4,4.119,-0.147994
5,P,5,1.625,0.0301904
5,P,6,0.4726,0.561573
5,P,7,0.1407,0.534776
6,P,0,0.1407,1
7,D,0,0.479,1
