shell_id,L,primitive_id,exponent,coefficient
0,S,0,78860,0.000270443
0,S,1,11820,0.00209717
0,S,2,2692,0.0108506
0,S,3,763.4,0.0436754
0,S,4,249.6,0.137653
0,S,5,90.28,0.316644
0,S,6,35.29,0.418581
0,S,7,14.51,0.210212
0,S,8,4.053,0.0144952
0,S,9,1.482,-0.0020359
0,S,10,0.2517,0.000624186
0,S,11,0.09243,-0.000282872
1,S,0,78860,-7.23177e-05
1,S,1,11820,-0.000555116
1,S,2,2692,-0.00293805
1,S,3,763.4,-0.0117687
1,S,4,249.6,-0.0402907
1,S,5,90.28,-0.100609
1,S,6,35.29,-0.196528
1,S,7,14.51,-0.102382
1,S,8,4.053,0.52719
1,S,9,1.482,0.593251
1,S,10,0.2517,0.0332652
1,S,11,0.09243,-0.00973662
2,S,0,78860,1.85113e-05
2,S,1,11820,0.000142236
2,S,2,2692,0.000752185
2,S,3,763.4,0.00302279
2,S,4,249.6,0.0103677
2,S,5,90.28,0.0262563
2,S,6,35.29,0.0523989
2,S,7,14.51,0.0290959
2,S,8,4.053,-0.178003
2,S,9,1.482,-0.346874
2,S,10,0.2517,0.62302
2,S,11,0.09243,0.537712
3,S,0,0.09243,1
4,P,0,315.9,0.00392656
4,P,1,74.42,0.0298811
4,P,2,23.48,0.127212
4,P,3,8.488,0.320943
4,P,4,3.217,0.455429
4,P,5,1.229,0.268563
4,P,6,0.2964,0.0188336
4,P,7,0.08768,-0.00262431
5,P,0,315.9,-0.000858302
5,P,1,74.42,-0.00630328
5,P,2,23.48,-0.0288255
5,P,3,8.488,-0.069456
5,P,4,3.217,-0.119493
5,P,5,1.229,-0.0199581
5,P,6,0.2964,0.510268
5,P,7,0.08768,0.600382
6,P,0,0.08768,1
7,D,0,0.275,1
