shell_id,L,primitive_id,exponent,coefficient
0,S,0,205500,6.78836e-05
0,S,1,30780,0.000527149
0,S,2,7006,0.00276203
0,S,3,1985,0.0114728
0,S,4,649.1,0.0398188
0,S,5,235,0.11504
0,S,6,91.62,0.260887
0,S,7,37.67,0.396386
0,S,8,15.91,0.284597
0,S,9,5.85,0.0444583
0,S,10,2.542,-0.00489838
0,S,11,1.057,0.00261253
0,S,12,0.2931,-0.00108915
0,S,13,0.1455,0.000722068
0,S,14,0.0565,-0.000178485
1,S,0,205500,-1.76377e-05
1,S,1,30780,-0.000137195
1,S,2,7006,-0.00071891
1,S,3,1985,-0.00301146
1,S,4,649.1,-0.0106014
1,S,5,235,-0.0321345
1,S,6,91.62,-0.0803156
1,S,7,37.67,-0.156794
1,S,8,15.91,-0.168376
1,S,9,5.85,0.126879
1,S,10,2.542,0.561494
1,S,11,1.057,0.436613
1,S,12,0.2931,0.0357293
1,S,13,0.1455,-0.0114563
1,S,14,0.0565,0.00220201
2,S,0,0.2931,1
3,S,0,205500,4.07315e-06
3,S,1,30780,3.16566e-05
3,S,2,7006,0.000166116
3,S,3,1985,0.000694992
3,S,4,649.1,0.00245511
3,S,5,235,0.00744598
3,S,6,91.62,0.0188253
3,S,7,37.67,0.0372772
3,S,8,15.91,0.0419496
3,S,9,5.85,-0.0354375
3,S,10,2.542,-0.175132
3,S,11,1.057,-0.276203
3,S,12,0.2931,0.108729
3,S,13,0.1455,0.652809
3,S,14,0.0565,0.394587
4,S,0,0.0565,1
5,P,0,444.4,0.00162786
5,P,1,105.1,0.0130687
5,P,2,33.47,0.0612341
5,P,3,12.33,0.18787
5,P,4,4.869,0.360452
5,P,5,1.961,0.408454
5,P,6,0.7834,0.18864
5,P,7,0.1888,0.00976514
5,P,8,0.05557,-0.00115057
6,P,0,0.7834,1
7,P,0,444.4,-0.000286341
7,P,1,105.1,-0.00242308
7,P,2,33.47,-0.0108658
7,P,3,12.33,-0.0364307
7,P,4,4.869,-0.0641074
7,P,5,1.961,-0.0972239
7,P,6,0.7834,0.0147437
7,P,7,0.1888,0.503448
7,P,8,0.05557,0.597984
8,P,0,0.05557,1
9,D,0,0.333,1
10,D,0,0.109,1
11,F,0,0.244,1
