shell_id,L,primitive_id,exponent,coefficient
0,S,0,545000,4.55828e-05
0,S,1,81640,0.000354108
0,S,2,18580,0.00185797
0,S,3,5261,0.00776851
0,S,4,1717,0.0274232
0,S,5,619.9,0.0823836
0,S,6,241.6,0.20123
0,S,7,99.79,0.356781
0,S,8,43.15,0.349563
0,S,9,19.14,0.118266
0,S,10,7.488,0.0056019
0,S,11,3.205,0.000483473
0,S,12,1.196,-0.000148085
0,S,13,0.5204,2.92025e-05
0,S,14,0.1954,-2.31604e-05
1,S,0,545000,-1.29551e-05
1,S,1,81640,-0.000100428
1,S,2,18580,-0.000529583
1,S,3,5261,-0.00221396
1,S,4,1717,-0.00796845
1,S,5,619.9,-0.0245803
1,S,6,241.6,-0.0657798
1,S,7,99.79,-0.137942
1,S,8,43.15,-0.20163
1,S,9,19.14,-0.0412834
1,S,10,7.488,0.48468
1,S,11,3.205,0.579224
1,S,12,1.196,0.0879083
1,S,13,0.5204,-0.00727553
1,S,14,0.1954,0.00232884
2,S,0,1.196,1
3,S,0,545000,4.0499e-06
3,S,1,81640,3.13691e-05
3,S,2,18580,0.000165646
3,S,3,5261,0.000691662
3,S,4,1717,0.0024979
3,S,5,619.9,0.00771074
3,S,6,241.6,0.0208714
3,S,7,99.79,0.0443965
3,S,8,43.15,0.0680224
3,S,9,19.14,0.014135
3,S,10,7.488,-0.207489
3,S,11,3.205,-0.425045
3,S,12,1.196,0.0704855
3,S,13,0.5204,0.733627
3,S,14,0.1954,0.396005
4,S,0,0.1954,1
5,P,0,761.8,0.00236976
5,P,1,180.2,0.0190199
5,P,2,57.5,0.0880807
5,P,3,21.24,0.256377
5,P,4,8.388,0.438711
5,P,5,3.416,0.347569
5,P,6,1.206,0.056674
5,P,7,0.4523,-0.00523882
5,P,8,0.1545,0.00164376
6,P,0,1.206,1
7,P,0,761.8,-0.000667211
7,P,1,180.2,-0.00532717
7,P,2,57.5,-0.0255494
7,P,3,21.24,-0.0757197
7,P,4,8.388,-0.141133
7,P,5,3.416,-0.0932768
7,P,6,1.206,0.282872
7,P,7,0.4523,0.56245
7,P,8,0.1545,0.325059
8,P,0,0.1545,1
9,D,0,1.254,1
10,D,0,0.41,1
11,F,0,0.89,1
