shell_id,L,primitive_id,exponent,coefficient
0,S,0,5473,0.000555
0,S,1,820.9,0.004291
0,S,2,186.8,0.021949
0,S,3,52.83,0.084441
0,S,4,17.08,0.238557
0,S,5,5.999,0.435072
0,S,6,2.208,0.341955
0,S,7,0.5879,0.036856
0,S,8,0.2415,-0.009545
0,S,9,0.0861,0.002368
1,S,0,0.5879,1
2,S,0,5473,-0.000112
2,S,1,820.9,-0.000868
2,S,2,186.8,-0.004484
2,S,3,52.83,-0.017683
2,S,4,17.08,-0.053639
2,S,5,5.999,-0.119005
2,S,6,2.208,-0.165824
2,S,7,0.5879,0.120107
2,S,8,0.2415,0.595981
2,S,9,0.0861,0.411021
3,S,0,0.0861,1
4,P,0,0.2385,1
5,P,0,12.05,0.013118
5,P,1,2.613,0.079896
5,P,2,0.7475,0.277275
5,P,3,0.2385,0.50427
5,P,4,0.07698,0.35368
6,P,0,0.07698,1
7,D,0,0.661,1
8,D,0,0.199,1
9,F,0,0.49,1
