shell_id,L,primitive_id,exponent,coefficient
0,S,0,6863,0.000236
0,S,1,1030,0.001826
0,S,2,234.7,0.009452
0,S,3,66.56,0.037957
0,S,4,21.69,0.119965
0,S,5,7.734,0.282162
0,S,6,2.916,0.427404
0,S,7,1.13,0.266278
0,S,8,0.2577,0.018193
0,S,9,0.1101,-0.007275
0,S,10,0.04409,0.001903
1,S,0,0.2577,1
2,S,0,6863,-4.3e-05
2,S,1,1030,-0.000333
2,S,2,234.7,-0.001736
2,S,3,66.56,-0.007012
2,S,4,21.69,-0.023126
2,S,5,7.734,-0.058138
2,S,6,2.916,-0.114556
2,S,7,1.13,-0.135908
2,S,8,0.2577,0.228026
2,S,9,0.1101,0.577441
2,S,10,0.04409,0.317873
3,S,0,0.04409,1
4,P,0,0.1438,1
5,P,0,7.436,0.010736
5,P,1,1.577,0.062854
5,P,2,0.4352,0.24818
5,P,3,0.1438,0.523699
5,P,4,0.04994,0.353425
6,P,0,0.04994,1
7,D,0,0.3493,1
8,D,0,0.1724,1
9,F,0,0.3423,1
