shell_id,L,primitive_id,exponent,coefficient
0,S,0,8236,0.000531
0,S,1,1235,0.004108
0,S,2,280.8,0.021087
0,S,3,79.27,0.081853
0,S,4,25.59,0.234817
0,S,5,8.997,0.434401
0,S,6,3.319,0.346129
0,S,7,0.9059,0.039378
0,S,8,0.3643,-0.008983
0,S,9,0.1285,0.002385
1,S,0,0.9059,1
2,S,0,8236,-0.000113
2,S,1,1235,-0.000878
2,S,2,280.8,-0.00454
2,S,3,79.27,-0.018133
2,S,4,25.59,-0.05576
2,S,5,8.997,-0.126895
2,S,6,3.319,-0.170352
2,S,7,0.9059,0.140382
2,S,8,0.3643,0.598684
2,S,9,0.1285,0.395389
3,S,0,0.1285,1
4,P,0,0.3827,1
5,P,0,18.71,0.014031
5,P,1,4.133,0.086866
5,P,2,1.2,0.290216
5,P,3,0.3827,0.501008
5,P,4,0.1209,0.343406
6,P,0,0.1209,1
7,D,0,1.097,1
8,D,0,0.318,1
9,F,0,0.761,1
