shell_id,L,primitive_id,exponent,coefficient
0,S,0,456100,4.9297e-05
0,S,1,68330,0.000383029
0,S,2,15550,0.00200854
0,S,3,4405,0.00838558
0,S,4,1439,0.0294703
0,S,5,520.4,0.0878325
0,S,6,203.1,0.211473
0,S,7,83.96,0.365364
0,S,8,36.2,0.340884
0,S,9,15.83,0.102133
0,S,10,6.334,0.00311675
0,S,11,2.694,0.00105751
0,S,12,0.9768,-0.000378
0,S,13,0.4313,0.000156136
0,S,14,0.1625,-5.14126e-05
1,S,0,456100,-1.38304e-05
1,S,1,68330,-0.000107279
1,S,2,15550,-0.000565083
1,S,3,4405,-0.00236135
1,S,4,1439,-0.00845886
1,S,5,520.4,-0.0259638
1,S,6,203.1,-0.0686362
1,S,7,83.96,-0.141874
1,S,8,36.2,-0.199319
1,S,9,15.83,-0.0195662
1,S,10,6.334,0.499741
1,S,11,2.694,0.563736
1,S,12,0.9768,0.0790325
1,S,13,0.4313,-0.00835091
1,S,14,0.1625,0.00232456
2,S,0,0.9768,1
3,S,0,456100,4.18546e-06
3,S,1,68330,3.24395e-05
3,S,2,15550,0.000171105
3,S,3,4405,0.000714176
3,S,4,1439,0.00256705
3,S,5,520.4,0.00788552
3,S,6,203.1,0.0210867
3,S,7,83.96,0.0442264
3,S,8,36.2,0.065167
3,S,9,15.83,0.00603012
3,S,10,6.334,-0.206495
3,S,11,2.694,-0.405871
3,S,12,0.9768,0.0759558
3,S,13,0.4313,0.725661
3,S,14,0.1625,0.394423
4,S,0,0.1625,1
5,P,0,663.3,0.00240448
5,P,1,156.8,0.0192148
5,P,2,49.98,0.0885097
5,P,3,18.42,0.25602
5,P,4,7.24,0.436927
5,P,5,2.922,0.350334
5,P,6,1.022,0.0585495
5,P,7,0.3818,-0.00458423
5,P,8,0.1301,0.0022697
6,P,0,1.022,1
7,P,0,663.3,-0.000652145
7,P,1,156.8,-0.00519445
7,P,2,49.98,-0.0246938
7,P,3,18.42,-0.0728167
7,P,4,7.24,-0.13403
7,P,5,2.922,-0.0947742
7,P,6,1.022,0.262289
7,P,7,0.3818,0.564667
7,P,8,0.1301,0.34125
8,P,0,0.1301,1
9,D,0,1.046,1
10,D,0,0.344,1
11,F,0,0.706,1
