shell_id,L,primitive_id,exponent,coefficient
0,S,0,19500,0.000507
0,S,1,2923,0.003923
0,S,2,664.5,0.0202
0,S,3,187.5,0.07901
0,S,4,60.62,0.230439
0,S,5,21.42,0.432872
0,S,6,7.95,0.349964
0,S,7,2.257,0.043233
0,S,8,0.8815,-0.007892
0,S,9,0.3041,0.002384
1,S,0,2.257,1
2,S,0,19500,-0.000117
2,S,1,2923,-0.000912
2,S,2,664.5,-0.004717
2,S,3,187.5,-0.019086
2,S,4,60.62,-0.059655
2,S,5,21.42,-0.14001
2,S,6,7.95,-0.176782
2,S,7,2.257,0.171625
2,S,8,0.8815,0.605043
2,S,9,0.3041,0.369512
3,S,0,0.3041,1
4,P,0,0.9132,1
5,P,0,43.88,0.016665
5,P,1,9.926,0.104472
5,P,2,2.93,0.31726
5,P,3,0.9132,0.487343
5,P,4,0.2672,0.334604
6,P,0,0.2672,1
7,D,0,3.107,1
8,D,0,0.855,1
9,F,0,1.917,1
