shell_id,L,primitive_id,exponent,coefficient
0,S,0,5988,0.000133
0,S,1,898.9,0.001025
0,S,2,205.9,0.005272
0,S,3,59.24,0.020929
0,S,4,19.87,0.06634
0,S,5,7.406,0.165775
0,S,6,2.93,0.315038
0,S,7,1.189,0.393523
0,S,8,0.4798,0.19087
0,S,9,0.07509,0.005414
0,S,10,0.02832,-0.001328
1,S,0,0.07509,1
2,S,0,5988,-2.1e-05
2,S,1,898.9,-0.000161
2,S,2,205.9,-0.00082
2,S,3,59.24,-0.003326
2,S,4,19.87,-0.010519
2,S,5,7.406,-0.028097
2,S,6,2.93,-0.055936
2,S,7,1.189,-0.099237
2,S,8,0.4798,-0.112189
2,S,9,0.07509,0.567889
2,S,10,0.02832,0.530382
3,S,0,0.02832,1
4,P,0,0.05578,1
5,P,0,3.266,0.00863
5,P,1,0.6511,0.047538
5,P,2,0.1696,0.209772
5,P,3,0.05578,0.528522
5,P,4,0.0205,0.382744
6,P,0,0.0205,1
7,D,0,0.19,1
8,D,0,0.0725,1
9,F,0,0.127,1
