shell_id,L,primitive_id,exponent,coefficient
0,S,0,164900,7.29929e-05
0,S,1,24710,0.000566652
0,S,2,5628,0.00296269
0,S,3,1596,0.0122962
0,S,4,521,0.0427324
0,S,5,188,0.123013
0,S,6,73.01,0.274832
0,S,7,29.9,0.401818
0,S,8,12.54,0.264697
0,S,9,4.306,0.0332612
0,S,10,1.826,-0.00441335
0,S,11,0.7417,0.00206024
0,S,12,0.1457,-0.00083847
0,S,13,0.07612,0.000708195
0,S,14,0.0331,-0.000200602
1,S,0,164900,-1.84248e-05
1,S,1,24710,-0.0001435
1,S,2,5628,-0.00074871
1,S,3,1596,-0.00314407
1,S,4,521,-0.0110481
1,S,5,188,-0.0336058
1,S,6,73.01,-0.0825946
1,S,7,29.9,-0.159314
1,S,8,12.54,-0.152888
1,S,9,4.306,0.190849
1,S,10,1.826,0.579964
1,S,11,0.7417,0.372029
1,S,12,0.1457,0.0211691
1,S,13,0.07612,-0.0119344
1,S,14,0.0331,0.00277329
2,S,0,0.1457,1
3,S,0,164900,3.55176e-06
3,S,1,24710,2.7642e-05
3,S,2,5628,0.000144404
3,S,3,1596,0.000605744
3,S,4,521,0.00213527
3,S,5,188,0.00649934
3,S,6,73.01,0.0161446
3,S,7,29.9,0.0315766
3,S,8,12.54,0.0316374
3,S,9,4.306,-0.043914
3,S,10,1.826,-0.151093
3,S,11,0.7417,-0.217668
3,S,12,0.1457,0.259807
3,S,13,0.07612,0.547245
3,S,14,0.0331,0.32591
4,S,0,0.0331,1
5,P,0,316.9,0.00207532
5,P,1,74.86,0.0162869
5,P,2,23.72,0.0738697
5,P,3,8.669,0.214297
5,P,4,3.363,0.382154
5,P,5,1.31,0.398178
5,P,6,0.4911,0.152878
5,P,7,0.2364,-0.0043754
5,P,8,0.08733,0.00629582
5,P,9,0.03237,-0.00156769
6,P,0,0.08733,1
7,P,0,316.9,-0.000329727
7,P,1,74.86,-0.00258754
7,P,2,23.72,-0.011912
7,P,3,8.669,-0.0350227
7,P,4,3.363,-0.0639968
7,P,5,1.31,-0.0704436
7,P,6,0.4911,-0.0375836
7,P,7,0.2364,0.177043
7,P,8,0.08733,0.566707
7,P,9,0.03237,0.396143
8,P,0,0.03237,1
9,D,0,0.2998,1
10,D,0,0.1285,1
11,F,0,0.2417,1
