shell_id,L,primitive_id,exponent,coefficient
0,S,0,11420,0.000523
0,S,1,1712,0.004045
0,S,2,389.3,0.020775
0,S,3,110,0.080727
0,S,4,35.57,0.233074
0,S,5,12.54,0.433501
0,S,6,4.644,0.347472
0,S,7,1.293,0.041262
0,S,8,0.5118,-0.008508
0,S,9,0.1787,0.002384
1,S,0,1.293,1
2,S,0,11420,-0.000115
2,S,1,1712,-0.000895
2,S,2,389.3,-0.004624
2,S,3,110,-0.018528
2,S,4,35.57,-0.057339
2,S,5,12.54,-0.132076
2,S,6,4.644,-0.17251
2,S,7,1.293,0.151814
2,S,8,0.5118,0.599944
2,S,9,0.1787,0.387462
3,S,0,0.1787,1
4,P,0,0.555,1
5,P,0,26.63,0.01467
5,P,1,5.948,0.091764
5,P,2,1.742,0.298683
5,P,3,0.555,0.498487
5,P,4,0.1725,0.337023
6,P,0,0.1725,1
7,D,0,1.654,1
8,D,0,0.469,1
9,F,0,1.093,1
