shell_id,L,primitive_id,exponent,coefficient
0,S,0,423000,1.80618e-05
0,S,1,63340,0.00014043
0,S,2,14410,0.000738438
0,S,3,4077,0.00311182
0,S,4,1328,0.0112081
0,S,5,478.6,0.0352828
0,S,6,186.2,0.0959897
0,S,7,76.92,0.213735
0,S,8,33.32,0.348688
0,S,9,15,0.324566
0,S,10,6.869,0.112633
0,S,11,2.683,0.00706797
0,S,12,1.109,0.00059801
0,S,13,0.454,0.00020413
0,S,14,0.06015,-5.3087e-06
0,S,15,0.02382,1.82605e-06
1,S,0,423000,-4.40653e-06
1,S,1,63340,-3.43443e-05
1,S,2,14410,-0.000180114
1,S,3,4077,-0.0007639
1,S,4,1328,-0.00275248
1,S,5,478.6,-0.00886016
1,S,6,186.2,-0.0247939
1,S,7,76.92,-0.0605995
1,S,8,33.32,-0.116446
1,S,9,15,-0.162437
1,S,10,6.869,-0.0438891
1,S,11,2.683,0.337917
1,S,12,1.109,0.561347
1,S,13,0.454,0.24524
1,S,14,0.06015,0.00406754
1,S,15,0.02382,-0.00126746
2,S,0,0.454,1
3,S,0,423000,6.63019e-07
3,S,1,63340,5.15769e-06
3,S,2,14410,2.7125e-05
3,S,3,4077,0.000114635
3,S,4,1328,0.000415118
3,S,5,478.6,0.00132978
3,S,6,186.2,0.00375595
3,S,7,76.92,0.00914025
3,S,8,33.32,0.0179859
3,S,9,15,0.0251477
3,S,10,6.869,0.00763522
3,S,11,2.683,-0.0614589
3,S,12,1.109,-0.115721
3,S,13,0.454,-0.158906
3,S,14,0.06015,0.626406
3,S,15,0.02382,0.475402
4,S,0,0.02382,1
5,P,0,243.3,0.00224392
5,P,1,57.39,0.0173997
5,P,2,18.1,0.0774125
5,P,3,6.575,0.219102
5,P,4,2.521,0.378522
5,P,5,0.9607,0.394902
5,P,6,0.3512,0.160424
5,P,7,0.09827,0.00233311
5,P,8,0.03734,0.00199536
5,P,9,0.015,-0.000777344
6,P,0,0.03734,1
7,P,0,243.3,-0.000222401
7,P,1,57.39,-0.00174277
7,P,2,18.1,-0.00775456
7,P,3,6.575,-0.0225187
7,P,4,2.521,-0.038433
7,P,5,0.9607,-0.0450177
7,P,6,0.3512,-0.0192132
7,P,7,0.09827,0.182697
7,P,8,0.03734,0.557897
7,P,9,0.015,0.373022
8,P,0,0.015,1
9,D,0,0.1473,1
10,D,0,0.0623,1
11,F,0,0.1284,1
