shell_id,L,primitive_id,exponent,coefficient
0,S,0,24350,0.000502
0,S,1,3650,0.003881
0,S,2,829.6,0.019997
0,S,3,234,0.078418
0,S,4,75.61,0.229676
0,S,5,26.73,0.432722
0,S,6,9.927,0.350642
0,S,7,2.836,0.043911
0,S,8,1.102,-0.007645
0,S,9,0.3782,0.002375
1,S,0,2.836,1
2,S,0,24350,-0.000118
2,S,1,3650,-0.000915
2,S,2,829.6,-0.004737
2,S,3,234,-0.019233
2,S,4,75.61,-0.060369
2,S,5,26.73,-0.142508
2,S,6,9.927,-0.17771
2,S,7,2.836,0.177352
2,S,8,1.102,0.605836
2,S,9,0.3782,0.365109
3,S,0,0.3782,1
4,P,0,1.143,1
5,P,0,54.7,0.017151
5,P,1,12.43,0.107656
5,P,2,3.679,0.321681
5,P,3,1.143,0.485232
5,P,4,0.33,0.332584
6,P,0,0.33,1
7,D,0,4.014,1
8,D,0,1.096,1
9,F,0,2.544,1
