shell_id,L,primitive_id,exponent,coefficient
0,S,0,15330,0.000508
0,S,1,2299,0.003929
0,S,2,522.4,0.020243
0,S,3,147.3,0.079181
0,S,4,47.55,0.230687
0,S,5,16.76,0.433118
0,S,6,6.207,0.35026
0,S,7,1.752,0.042728
0,S,8,0.6882,-0.008154
0,S,9,0.2384,0.002381
1,S,0,1.752,1
2,S,0,15330,-0.000115
2,S,1,2299,-0.000895
2,S,2,522.4,-0.004636
2,S,3,147.3,-0.018724
2,S,4,47.55,-0.058463
2,S,5,16.76,-0.136463
2,S,6,6.207,-0.17574
2,S,7,1.752,0.160934
2,S,8,0.6882,0.603418
2,S,9,0.2384,0.378765
3,S,0,0.2384,1
4,P,0,0.7156,1
5,P,0,34.46,0.015928
5,P,1,7.749,0.09974
5,P,2,2.28,0.310492
5,P,3,0.7156,0.491026
5,P,4,0.214,0.336337
6,P,0,0.214,1
7,D,0,2.314,1
8,D,0,0.645,1
9,F,0,1.428,1
