shell_id,L,primitive_id,exponent,coefficient
0,S,0,312400,5.7696e-05
0,S,1,46800,0.000448296
0,S,2,10650,0.00234939
0,S,3,3018,0.00978265
0,S,4,986.8,0.0341467
0,S,5,357.4,0.100204
0,S,6,139.6,0.234372
0,S,7,57.63,0.382434
0,S,8,24.6,0.318088
0,S,9,10.12,0.0707788
0,S,10,4.283,-0.00181799
0,S,11,1.805,0.0021618
0,S,12,0.6158,-0.000834742
0,S,13,0.2782,0.000432297
0,S,14,0.1055,-0.000114251
1,S,0,312400,-1.56709e-05
1,S,1,46800,-0.000121724
1,S,2,10650,-0.000639672
1,S,3,3018,-0.00267426
1,S,4,986.8,-0.00949831
1,S,5,357.4,-0.0289349
1,S,6,139.6,-0.0745121
1,S,7,57.63,-0.149938
1,S,8,24.6,-0.189467
1,S,9,10.12,0.036327
1,S,10,4.283,0.528816
1,S,11,1.805,0.519115
1,S,12,0.6158,0.0605547
1,S,13,0.2782,-0.00925695
1,S,14,0.1055,0.00210372
2,S,0,0.6158,1
3,S,0,312400,4.30631e-06
3,S,1,46800,3.34194e-05
3,S,2,10650,0.000175885
3,S,3,3018,0.00073434
3,S,4,986.8,0.00261775
3,S,5,357.4,0.00797852
3,S,6,139.6,0.020794
3,S,7,57.63,0.0424446
3,S,8,24.6,0.0563436
3,S,9,10.12,-0.0127358
3,S,10,4.283,-0.196495
3,S,11,1.805,-0.353555
3,S,12,0.6158,0.0741407
3,S,13,0.2782,0.700912
3,S,14,0.1055,0.404739
4,S,0,0.1055,1
5,P,0,504.9,0.00233728
5,P,1,119.4,0.018541
5,P,2,37.96,0.0849693
5,P,3,13.95,0.244615
5,P,4,5.457,0.422766
5,P,5,2.177,0.368439
5,P,6,0.801,0.0772734
5,P,7,0.2877,-0.00379005
5,P,8,0.09714,0.00159939
6,P,0,0.801,1
7,P,0,504.9,-0.000555236
7,P,1,119.4,-0.00445913
7,P,2,37.96,-0.020635
7,P,3,13.95,-0.0617694
7,P,4,5.457,-0.108924
7,P,5,2.177,-0.105599
7,P,6,0.801,0.153483
7,P,7,0.2877,0.576981
7,P,8,0.09714,0.422439
8,P,0,0.09714,1
9,D,0,0.652,1
10,D,0,0.216,1
11,F,0,0.452,1
