shell_id,L,primitive_id,exponent,coefficient
0,S,0,374100,5.4214e-05
0,S,1,56050,0.000420855
0,S,2,12760,0.00220698
0,S,3,3615,0.00919258
0,S,4,1183,0.0321123
0,S,5,428.8,0.0946683
0,S,6,167.8,0.22363
0,S,7,69.47,0.374393
0,S,8,29.84,0.329108
0,S,9,12.72,0.0847038
0,S,10,5.244,0.000440851
0,S,11,2.219,0.00164827
0,S,12,0.7767,-0.000622332
0,S,13,0.349,0.000301306
0,S,14,0.1322,-8.4129e-05
1,S,0,374100,-1.49837e-05
1,S,1,56050,-0.000116198
1,S,2,12760,-0.000611583
1,S,3,3615,-0.0025537
1,S,4,1183,-0.00908708
1,S,5,428.8,-0.0277045
1,S,6,167.8,-0.072002
1,S,7,69.47,-0.146439
1,S,8,29.84,-0.19515
1,S,9,12.72,0.00819193
1,S,10,5.244,0.516601
1,S,11,2.219,0.542178
1,S,12,0.7767,0.068843
1,S,13,0.349,-0.00918072
1,S,14,0.1322,0.00226832
2,S,0,0.7767,1
3,S,0,374100,4.35066e-06
3,S,1,56050,3.3714e-05
3,S,2,12760,0.000177674
3,S,3,3615,0.000741116
3,S,4,1183,0.00264591
3,S,5,428.8,0.00807487
3,S,6,167.8,0.0212276
3,S,7,69.47,0.0438323
3,S,8,29.84,0.0612716
3,S,9,12.72,-0.0036151
3,S,10,5.244,-0.20451
3,S,11,2.219,-0.381871
3,S,12,0.7767,0.0826844
3,S,13,0.349,0.714147
3,S,14,0.1322,0.393791
4,S,0,0.1322,1
5,P,0,574.4,0.00242264
5,P,1,135.8,0.0192796
5,P,2,43.19,0.0885401
5,P,3,15.87,0.254654
5,P,4,6.208,0.433984
5,P,5,2.483,0.354953
5,P,6,0.8688,0.0618941
5,P,7,0.3229,-0.00502977
5,P,8,0.1098,0.00209813
6,P,0,0.8688,1
7,P,0,574.4,-0.000620102
7,P,1,135.8,-0.00493882
7,P,2,43.19,-0.0232647
7,P,3,15.87,-0.0685195
7,P,4,6.208,-0.123896
7,P,5,2.483,-0.0969499
7,P,6,0.8688,0.228215
7,P,7,0.3229,0.569394
7,P,8,0.1098,0.366302
8,P,0,0.1098,1
9,D,0,0.819,1
10,D,0,0.269,1
11,F,0,0.557,1
