shell_id,L,primitive_id,exponent,coefficient
0,S,0,254900,6.25101e-05
0,S,1,38190,0.000485553
0,S,2,8690,0.00254516
0,S,3,2462,0.0105866
0,S,4,804.8,0.0368787
0,S,5,291.3,0.107479
0,S,6,113.6,0.247936
0,S,7,46.75,0.390927
0,S,8,19.82,0.302026
0,S,9,7.708,0.0559236
0,S,10,3.34,-0.00402406
0,S,11,1.402,0.0025803
0,S,12,0.4387,-0.00103821
0,S,13,0.207,0.00060793
0,S,14,0.07944,-0.000154022
1,S,0,254900,-1.6637e-05
1,S,1,38190,-0.00012931
1,S,2,8690,-0.000678828
1,S,3,2462,-0.00284117
1,S,4,804.8,-0.0100551
1,S,5,291.3,-0.0305774
1,S,6,113.6,-0.0777256
1,S,7,46.75,-0.154236
1,S,8,19.82,-0.180368
1,S,9,7.708,0.0798218
1,S,10,3.34,0.547441
1,S,11,1.402,0.480119
1,S,12,0.4387,0.0474846
1,S,13,0.207,-0.0106996
1,S,14,0.07944,0.00219871
2,S,0,0.4387,1
3,S,0,254900,4.26257e-06
3,S,1,38190,3.31062e-05
3,S,2,8690,0.000174015
3,S,3,2462,0.000727574
3,S,4,804.8,0.00258333
3,S,5,291.3,0.00786354
3,S,6,113.6,0.0202155
3,S,7,46.75,0.040732
3,S,8,19.82,0.0499358
3,S,9,7.708,-0.0249396
3,S,10,3.34,-0.19035
3,S,11,1.402,-0.31835
3,S,12,0.4387,0.0948036
3,S,13,0.207,0.68118
3,S,14,0.07944,0.395672
4,S,0,0.07944,1
5,P,0,481.5,0.00192045
5,P,1,113.9,0.0153552
5,P,2,36.23,0.0713991
5,P,3,13.34,0.213052
5,P,4,5.252,0.390354
5,P,5,2.12,0.393721
5,P,6,0.8561,0.132565
5,P,7,0.2528,0.0039563
5,P,8,0.07889,0.000331624
6,P,0,0.8561,1
7,P,0,481.5,-0.00040522
7,P,1,113.9,-0.00335896
7,P,2,36.23,-0.015286
7,P,3,13.34,-0.0489218
7,P,4,5.252,-0.0855008
7,P,5,2.12,-0.112137
7,P,6,0.8561,0.0618274
7,P,7,0.2528,0.551919
7,P,8,0.07889,0.523492
8,P,0,0.07889,1
9,D,0,0.481,1
10,D,0,0.159,1
11,F,0,0.336,1
